Title,Image
AFP Holds 60+ Rallies Across the U.S. to Protect Prosperity and Renew the Trump Tax Cuts,https://americansforprosperity.org/wp-content/uploads/2025/04/GonK7fQXYAACHf5-1-761x499.png
AFP-Texas Declares School Choice Victory after Historic House Vote,https://americansforprosperity.org/wp-content/uploads/2020/12/AFP-Press-Image-363x179.png
AFP-Texas Declares School Choice Victory after Historic House Vote,https://americansforprosperity.org/wp-content/uploads/2020/12/AFP-Press-Image-761x499.png
Americans for Prosperity Launches New Seven-Figure Ad Campaign and Grassroots Blitz to Preserve Trump Tax Cuts,https://americansforprosperity.org/wp-content/uploads/2025/04/Screen-Shot-2024-11-19-at-10.45.57-PM-1536x1026-1-363x179.png
Americans for Prosperity Launches New Seven-Figure Ad Campaign and Grassroots Blitz to Preserve Trump Tax Cuts,https://americansforprosperity.org/wp-content/uploads/2025/04/Screen-Shot-2024-11-19-at-10.45.57-PM-1536x1026-1-761x499.png
